index,c,v,t,query
1990,119,32,"I will run the way of thy commandments, when thou shalt enlarge my heart.",What will I do when I feel free and motivated?
1991,119,33,"Teach me, O LORD, the way of thy statutes; and I shall keep it unto the end.",What am I asking for guidance in understanding?
1993,119,35,Make me to go in the path of thy commandments; for therein do I delight.,What do I take joy in following?
1995,119,37,Turn away mine eyes from beholding vanity; and quicken thou me in thy way.,"What should I avoid focusing on, and how will it help me?"
1998,119,40,"Behold, I have longed after thy precepts: quicken me in thy righteousness.","What do I long for, and what can restore me?"
2000,119,42,So shall I have wherewith to answer him that reproacheth me: for I trust in thy word.,How do I respond to those who criticize me?
2003,119,45,And I will walk at liberty: for I seek thy precepts.,What brings me a sense of freedom?
2004,119,46,"I will speak of thy testimonies also before kings, and will not be ashamed.","How will I feel when speaking openly, even before powerful people?"
2008,119,50,This is my comfort in my affliction: for thy word hath quickened me.,What has brought me comfort during difficult times?
2009,119,51,The proud have had me greatly in derision: yet have I not declined from thy law.,How do I handle mockery or derision from others?
2014,119,56,"This I had, because I kept thy precepts.",Why have I stayed committed to my path?
2017,119,59,"I thought on my ways, and turned my feet unto thy testimonies.",What did I do after reflecting on my actions?
2019,119,61,The bands of the wicked have robbed me: but I have not forgotten thy law.,How did I react when wronged by others?
2021,119,63,"I am a companion of all them that fear thee, and of them that keep thy precepts.",Who are the types of people I consider my companions?
2024,119,66,Teach me good judgment and knowledge: for I have believed thy commandments.,What am I seeking when I ask for better judgment?
2025,119,67,Before I was afflicted I went astray: but now have I kept thy word.,What did I realize about my behavior after facing hardship?
2029,119,71,It is good for me that I have been afflicted; that I might learn thy statutes.,What did I gain from going through difficulties?
2030,119,72,The law of thy mouth is better unto me than thousands of gold and silver.,How do I compare learning to wealth?
2031,119,73,"Thy hands have made me and fashioned me: give me understanding, that I may learn thy commandments.",What do I hope to gain from understanding my own existence?
2032,119,74,They that fear thee will be glad when they see me; because I have hoped in thy word.,What reaction do others have when they see my commitment?
2036,119,78,Let the proud be ashamed; for they dealt perversely with me without a cause: but I will meditate in thy precepts.,How should those who treated me unfairly feel?
2039,119,81,My soul fainteth for thy salvation: but I hope in thy word.,What do I long for when I feel faint or weak?
2042,119,84,How many are the days of thy servant? when wilt thou execute judgment on them that persecute me?,What question do I ask when facing persecution?
2044,119,86,All thy commandments are faithful: they persecute me wrongfully; help thou me.,What is my reaction to being wrongfully persecuted?
2050,119,92,"Unless thy law had been my delights, I should then have perished in mine affliction.",What would have happened to me if I hadn’t found comfort in something greater?
2051,119,93,I will never forget thy precepts: for with them thou hast quickened me.,Why will I never forget certain principles?
2053,119,95,The wicked have waited for me to destroy me: but I will consider thy testimonies.,How do I handle threats from those who want to harm me?
2054,119,96,I have seen an end of all perfection: but thy commandment is exceeding broad.,What realization have I come to about perfection?
2055,119,97,O how I love thy law! it is my meditation all the day.,What is my attitude toward learning?
2056,119,98,Thou through thy commandments hast made me wiser than mine enemies: for they are ever with me.,How has learning made me more effective than my adversaries?
2057,119,99,I have more understanding than all my teachers: for thy testimonies are my meditation.,What allows me to understand more than my teachers?
2061,119,103,"How sweet are thy words unto my taste! yea, sweeter than honey to my mouth!",How do I describe the value of learning and wisdom?
2063,119,105,"Thy word is a lamp unto my feet, and a light unto my path.",What helps guide me through life?
2065,119,107,"I am afflicted very much: quicken me, O LORD, according unto thy word.",How do I react when I am heavily afflicted?
2068,119,110,The wicked have laid a snare for me: yet I erred not from thy precepts.,"What do I avoid, even when others set traps for me?"
2069,119,111,Thy testimonies have I taken as an heritage for ever: for they are the rejoicing of my heart.,What do I treasure most in life?
2071,119,113,I hate vain thoughts: but thy law do I love.,What is my attitude towards empty or vain thoughts?
2072,119,114,Thou art my hiding place and my shield: I hope in thy word.,Where do I find protection and hope?
2074,119,116,"Uphold me according unto thy word, that I may live: and let me not be ashamed of my hope.",How do I maintain hope and avoid feeling ashamed?
2081,119,123,"Mine eyes fail for thy salvation, and for the word of thy righteousness.",What do I feel when waiting for fairness and justice?
2088,119,130,The entrance of thy words giveth light; it giveth understanding unto the simple.,What does knowledge provide to those who seek it?
2094,119,136,"Rivers of waters run down mine eyes, because they keep not thy law.",Why do I feel overwhelmed with sorrow?
2097,119,139,"My zeal hath consumed me, because mine enemies have forgotten thy words.",What fuels my passion and drive?
2099,119,141,I am small and despised: yet do not I forget thy precepts.,How do I handle feeling insignificant?
2100,119,142,"Thy righteousness is an everlasting righteousness, and thy law is the truth.",What is said to be true and everlasting?
2101,119,143,Trouble and anguish have taken hold on me: yet thy commandments are my delights.,How do I find joy during times of trouble?
2102,119,144,"The righteousness of thy testimonies is everlasting: give me understanding, and I shall live.",What do I need to live and thrive?
2108,119,150,They draw nigh that follow after mischief: they are far from thy law.,What kind of people are getting closer to me?
2109,119,151,"Thou art near, O LORD; and all thy commandments are truth.",What is considered always near and true?
2110,119,152,"Concerning thy testimonies, I have known of old that thou hast founded them for ever.",How long have I known about the principles that guide me?
2115,119,157,Many are my persecutors and mine enemies; yet do I not decline from thy testimonies.,How do I stay committed even when many oppose me?
2116,119,158,"I beheld the transgressors, and was grieved; because they kept not thy word.",What is my reaction when I see people breaking the rules?
2120,119,162,"I rejoice at thy word, as one that findeth great spoil.",How do I feel when I discover something valuable?
2121,119,163,I hate and abhor lying: but thy law do I love.,What is my attitude toward falsehood?
2123,119,165,Great peace have they which love thy law: and nothing shall offend them.,What brings me great peace and resilience?
2125,119,167,My soul hath kept thy testimonies; and I love them exceedingly.,What have I kept close to me and loved deeply?
2132,119,174,"I have longed for thy salvation, O LORD; and thy law is my delight.","What have I longed for, and what do I take joy in?"
2136,120,2,"Deliver my soul, O LORD, from lying lips, and from a deceitful tongue.",What do I want to be delivered from?
2140,120,6,My soul hath long dwelt with him that hateth peace.,How long have I been surrounded by those who dislike peace?
2141,120,7,"I am for peace: but when I speak, they are for war.",What is my stance when others prefer conflict?
2142,121,1,"I will lift up mine eyes unto the hills, from whence cometh my help.",Where do I look for help?
2144,121,3,He will not suffer thy foot to be moved: he that keepeth thee will not slumber.,Who ensures that I remain steady?
2147,121,6,"The sun shall not smite thee by day, nor the moon by night.",What protects me from harm during the day and night?
2149,121,8,"The LORD shall preserve thy going out and thy coming in from this time forth, and even for evermore.",How long will I be watched over when I go about my life?
2150,122,1,"I was glad when they said unto me, Let us go into the house of the LORD.",How did I feel when invited to a significant place?
2152,122,3,Jerusalem is builded as a city that is compact together:,How is a certain city described in terms of its structure?
2156,122,7,"Peace be within thy walls, and prosperity within thy palaces.",What do I wish for a specific place?
2157,122,8,"For my brethren and companions' sakes, I will now say, Peace be within thee.",Why do I desire peace?
2162,123,4,"Our soul is exceedingly filled with the scorning of those that are at ease, and with the contempt of the proud.",What have I been filled with after being treated with contempt?
2169,124,7,"Our soul is escaped as a bird out of the snare of the fowlers: the snare is broken, and we are escaped.",How do I feel after escaping a dangerous situation?
2171,125,1,"They that trust in the LORD shall be as mount Zion, which cannot be removed, but abideth for ever.",How does someone who trusts in the right principles compare to something immovable?
2173,125,3,For the rod of the wicked shall not rest upon the lot of the righteous; lest the righteous put forth their hands unto iniquity.,What won't remain over those who are virtuous?
2177,126,2,"Then was our mouth filled with laughter, and our tongue with singing: then said they among the heathen, The LORD hath done great things for them.",What was my reaction when I experienced something incredible?
2180,126,5,They that sow in tears shall reap in joy.,What can be expected after enduring hardship?
2181,126,6,"He that goeth forth and weepeth, bearing precious seed, shall doubtless come again with rejoicing, bringing his sheaves with him.",How does someone return after a period of sorrow with something precious?
2182,127,1,"Except the LORD build the house, they labour in vain that build it: except the LORD keep the city, the watchman waketh but in vain.",What happens if a project is undertaken without proper foundation?
2183,127,2,"It is vain for you to rise up early, to sit up late, to eat the bread of sorrows: for so he giveth his beloved sleep.",Why is it unnecessary to overwork and worry?
2186,127,5,"Happy is the man that hath his quiver full of them: they shall not be ashamed, but they shall speak with the enemies in the gate.",How does a person with many children feel when facing challenges?
2188,128,2,"For thou shalt eat the labour of thine hands: happy shalt thou be, and it shall be well with thee.",What does someone who follows the right path get to enjoy?
2189,128,3,Thy wife shall be as a fruitful vine by the sides of thine house: thy children like olive plants round about thy table.,How is a wife described in relation to a household?
2191,128,5,The LORD shall bless thee out of Zion: and thou shalt see the good of Jerusalem all the days of thy life.,What will I get to see as a sign of prosperity in my family?
2194,129,2,Many a time have they afflicted me from my youth: yet they have not prevailed against me.,What is said about the persistence of challenges throughout life?
2196,129,4,The LORD is righteous: he hath cut asunder the cords of the wicked.,What has happened to those who acted with cruelty?
2300,139,1,"O lord, thou hast searched me, and known me.",Is there anyone who truly knows me inside and out?
2301,139,2,"Thou knowest my downsitting and mine uprising, thou understandest my thought afar off.",Can anyone understand my thoughts before I even speak?
2306,139,7,Whither shall I go from thy spirit? or whither shall I flee from thy presence?,Is there anywhere I can go to escape being watched or judged?
2313,139,14,I will praise thee; for I am fearfully and wonderfully made: marvellous are thy works; and that my soul knoweth right well.,How can I appreciate myself more and realize my worth?
2324,140,1,"Deliver me, O LORD, from the evil man: preserve me from the violent man;",What should I do when facing violent or manipulative people?
2326,140,3,They have sharpened their tongues like a serpent; adders' poison is under their lips. Selah.,How can I deal with people who speak with venomous intent?
2339,141,3,"Set a watch, O LORD, before my mouth; keep the door of my lips.",How can I be more careful about the words I use?
2340,141,4,"Incline not my heart to any evil thing, to practise wicked works with men that work iniquity: and let me not eat of their dainties.",How can I avoid the influence of people who do evil?
2348,142,2,I poured out my complaint before him; I shewed before him my trouble.,What can I do when I feel overwhelmed with problems and don't know where to turn?
2350,142,4,"I looked on my right hand, and beheld, but there was no man that would know me: refuge failed me; no man cared for my soul.",How can I cope with feeling abandoned and alone in my struggles?
2369,144,4,Man is like to vanity: his days are as a shadow that passeth away.,What does it mean that life feels so fleeting and temporary?
2388,145,8,"The LORD is gracious, and full of compassion; slow to anger, and of great mercy.",How can I practice more compassion and patience with others?
2389,145,9,The LORD is good to all: and his tender mercies are over all his works.,"Is there goodness in the world for everyone, even those who seem undeserving?"
2394,145,14,"The LORD upholdeth all that fall, and raiseth up all those that be bowed down.",How can I recover when I feel like I've hit rock bottom?
2404,146,3,"Put not your trust in princes, nor in the son of man, in whom there is no help.",Can I rely on powerful or influential people to help me?
2406,146,5,"Happy is he that hath the God of Jacob for his help, whose hope is in the LORD his God:",Who can I trust for true help and hope in difficult times?
2414,147,3,"He healeth the broken in heart, and bindeth up their wounds.",How can I heal when my heart feels broken?
2415,147,4,He telleth the number of the stars; he calleth them all by their names.,How vast is the universe and how much can we really understand?
2417,147,6,The LORD lifteth up the meek: he casteth the wicked down to the ground.,What happens to people who are humble compared to those who act wickedly?
2419,147,8,"Who covereth the heaven with clouds, who prepareth rain for the earth, who maketh grass to grow upon the mountains.",How does nature get its life and sustenance?
2421,147,10,He delighteth not in the strength of the horse: he taketh not pleasure in the legs of a man.,What is more important than physical strength or power?
2436,148,5,"Let them praise the name of the LORD: for he commanded, and they were created.","Why does creation exist, and who is responsible for it?"
2442,148,11,"Kings of the earth, and all people; princes, and all judges of the earth:","Who should give praise regardless of rank, age, or status?"
2460,150,6,Let every thing that hath breath praise the LORD. Praise ye the LORD.,What is the purpose of life for all living beings?
